#
# Start GPU tests
#
hops23, 1.762e+05
hops38, 1.764e+05
hops5, 1.767e+05
hops28, 1.750e+05
hops37, 1.745e+05
hops48, 1.761e+05
hops49, 1.765e+05
hops21, 1.750e+05
hops1, 1.724e+05
hops1, 8.991e+06
hops1, 9.010e+06
hops1, 8.970e+06
hops1, 8.911e+06
hops1, 8.994e+06
hops1, 8.985e+06
hops1, 8.984e+06
hops1, 9.100e+06
hops1, 8.937e+06
hops1, 9.017e+06
hops1, 9.007e+06
hops1, 9.014e+06
hops1, 8.940e+06
hops1, 8.884e+06
hops1, 8.965e+06
hops1, 8.851e+06
hops1, 8.886e+06
hops1, 8.918e+06
hops1, 8.930e+06
hops1, 8.822e+06
hops1, 8.863e+06
hops1, 9.001e+06
hops1, 8.890e+06
hops1, 8.271e+06
hops1, 8.216e+06
hops1, 7.934e+06
hops1, 8.883e+06
hops1, 8.932e+06
hops1, 8.869e+06
hops1, 8.169e+06
hops1, 8.273e+06
hops1, 8.850e+06
hops1, 8.796e+06
hops1, 8.837e+06
hops1, 8.793e+06
hops1, 8.798e+06
hops1, 8.849e+06
hops1, 8.864e+06
hops1, 8.842e+06
hops1, 8.795e+06
hops1, 8.867e+06
hops1, 8.841e+06
hops1, 8.902e+06
hops1, 8.982e+06
hops1, 8.876e+06
hops1, 8.869e+06
hops1, 8.829e+06
hops1, 8.850e+06
hops1, 8.811e+06
hops1, 8.819e+06
hops1, 8.898e+06
hops1, 8.924e+06
hops1, 8.868e+06
hops1, 8.848e+06
hops1, 8.844e+06
hops1, 8.871e+06
hops1, 8.847e+06
hops1, 8.764e+06
hops1, 8.876e+06
hops1, 8.868e+06
hops1, 8.816e+06
hops1, 8.844e+06
hops1, 8.885e+06
hops1, 8.879e+06
hops1, 8.867e+06
hops1, 8.888e+06
hops1, 8.801e+06
hops1, 8.927e+06
hops1, 8.871e+06
hops1, 8.805e+06
hops1, 8.848e+06
hops1, 8.888e+06
hops1, 9.003e+06
hops1, 8.859e+06
hops1, 8.890e+06
hops1, 8.893e+06
hops1, 8.869e+06
hops1, 8.895e+06
hops1, 8.814e+06
hops1, 8.944e+06
hops1, 8.916e+06
hops1, 8.840e+06
hops1, 8.787e+06
hops1, 8.925e+06
hops1, 8.871e+06
hops1, 8.800e+06
hops1, 8.803e+06
hops1, 8.809e+06
hops1, 8.905e+06
